match_id,round,team_id,opponent_team_id,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,height,hitWoodwork,interceptionWon,jerseyNumber,keyPass,lastManTackle,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,touches,wasFouled,wonContest
12436873,1,30,48,4,1,20,492,18,13,2,1,2,5,0,11,54,48,0,1,0.9544598999999999,1.4304000000000001,8,3,3,0.0498,0,3636,1,8,387,10,0,5,4,0,0,0,0,0,133,2,1,1,3,19,18,14,1,43,1,575,21,744,8,6
12436874,1,39,45,1,0,12,117,9,7,1,0,2,6,1,8,43,40,0,0,0.18790692,0.25339999999999996,15,1,1,0.4216,0,3701,0,4,336,3,0,1,11,0,0,0,0,0,102,0,3,3,0,34,6,12,0,39,1,181,16,353,16,1
12436874,1,45,39,4,0,19,579,7,9,2,3,11,1,0,9,40,43,1,0,1.6052125,1.8218,16,0,0,-0.3686,2,3628,0,3,329,15,0,4,2,0,0,0,0,0,126,1,0,0,4,14,13,30,0,26,2,649,13,822,15,6
12436875,1,14,60,3,0,22,402,15,25,0,0,3,5,0,8,55,66,0,0,0.79014211,1.396,17,0,1,0.1878,0,3682,0,7,319,11,0,8,3,0,0,0,0,0,156,1,1,3,3,25,19,13,0,51,1,503,24,705,8,9
12436875,1,60,14,4,1,25,335,25,15,2,2,3,9,0,14,66,55,1,0,0.4928853,1.2226,8,0,1,0.8511,0,3632,0,14,337,7,0,4,3,0,0,0,0,0,155,2,5,7,6,29,15,25,1,67,4,432,18,667,17,5
12436877,1,37,40,5,0,27,352,13,14,2,3,4,8,0,18,62,43,0,0,1.1017474,2.4564999999999997,18,0,1,-0.6716,1,3658,0,6,348,10,0,3,6,0,0,0,0,1,127,1,0,1,7,22,10,25,0,52,1,417,14,612,11,4
12436877,1,40,37,3,1,19,329,14,13,4,2,6,4,0,7,43,62,0,0,0.89705419,2.0288,11,2,2,0.3203,1,3669,1,7,358,12,0,3,4,0,1,0,0,0,116,0,2,3,6,20,15,15,1,42,1,394,24,598,18,8
12436879,1,50,7,4,1,35,311,14,19,2,2,1,3,0,14,45,58,0,0,0.5435803300000001,1.7977,6,1,2,0.0152,1,3657,0,11,303,7,0,5,4,1,0,0,0,0,141,1,3,6,3,21,13,17,1,62,1,403,19,586,15,5
12436879,1,7,50,1,1,16,389,19,14,1,1,4,5,0,5,58,45,0,1,0.63363406,1.1702,15,0,0,1.1136,0,3672,0,5,321,9,0,6,1,0,0,0,0,0,137,0,3,3,4,29,17,14,1,53,3,481,22,661,6,3
12583571,1,2524,2672,2,0,25,170,16,12,2,2,2,16,0,10,60,49,0,0,0.85886873,1.8875,12,1,2,-0.048,0,3503,1,13,418,7,0,2,5,1,0,0,0,1,126,2,5,6,6,24,13,11,0,61,3,248,21,434,11,5
12583571,1,2672,2524,5,1,21,520,12,16,3,1,5,5,0,8,49,60,1,0,2.1124684499999997,2.4164000000000003,11,2,2,-0.1646,1,3682,1,2,335,14,0,8,2,0,1,0,0,0,135,0,0,0,2,13,29,15,1,41,1,609,18,794,10,16
12437604,1,2825,2859,2,2,23,352,18,19,0,0,2,6,0,13,60,48,0,1,0.50716861,0.3308,15,1,1,-0.0132,1,4027,0,4,263,6,0,4,2,0,0,0,0,0,138,0,1,1,1,26,18,16,2,57,2,444,10,627,12,9
12437604,1,2859,2825,4,0,24,116,19,18,1,1,2,9,0,7,48,60,0,0,0.28070795,0.8391,12,1,1,-0.0775,2,2932,1,9,243,7,0,2,1,0,0,0,0,0,128,2,0,3,5,23,9,13,0,62,6,194,22,386,14,6
12437608,1,6577,2833,12,0,22,345,22,12,1,1,4,7,0,6,53,43,0,0,1.0498029,1.4144,14,1,1,-0.4702,0,3779,1,9,322,14,0,5,3,1,0,0,0,0,135,0,3,4,6,14,10,27,0,54,1,430,16,625,13,3
12437608,1,2833,6577,7,1,22,393,12,22,3,2,3,3,0,7,43,53,0,0,1.5229593399999999,1.8486,15,1,1,-0.8727,0,4015,0,10,336,15,0,5,4,1,0,0,0,0,135,1,3,4,10,24,16,15,2,58,2,481,13,688,13,7
12437610,1,2819,2836,2,0,21,420,8,6,0,0,2,8,0,7,39,41,0,0,0.59953553,0.7868999999999999,7,1,1,-1.6174,0,3652,1,10,257,5,0,3,1,0,0,0,0,0,97,1,2,2,4,19,24,12,0,41,2,477,11,643,11,14
12437610,1,2836,2819,7,1,19,519,6,8,3,2,1,14,0,8,41,39,1,0,0.62214514,1.1098,12,2,2,-1.2443,0,4159,1,2,336,8,0,4,2,1,0,0,0,0,109,0,2,2,4,9,11,15,1,34,2,592,17,733,6,8
12436870,1,35,43,3,2,23,408,16,19,3,4,2,8,0,13,59,58,0,0,0.9820578,2.4337,12,1,1,0.9171,2,3682,0,19,293,10,0,5,3,0,0,0,0,0,128,0,1,2,7,20,19,18,2,40,3,482,21,679,10,8
12436870,1,43,35,6,0,17,306,19,16,0,0,4,8,0,9,58,59,0,2,0.44285674,0.4353,10,0,0,1.0671,0,3668,0,9,319,9,0,2,2,0,0,0,0,0,134,1,3,4,4,19,20,21,0,39,1,384,24,580,11,8
