match_number,team,opponent,RESULT,Accurate passes,Ball possession,Big chances,Big chances missed,Big chances scored,Big saves,Blocked shots,Clearances,Corner kicks,Dispossessed,Duels,Errors lead to a goal,Errors lead to a shot,Expected goals,Final third entries,Fouled in final third,Fouls,Free kicks,Goal kicks,Goalkeeper saves,Goals prevented,High claims,Hit woodwork,Interceptions,Offsides,Passes,Penalty saves,Punches,Recoveries,Red cards,Shots inside box,Shots off target,Shots on target,Shots outside box,Tackles,Tackles won,Through balls,Throw-ins,Total saves,Total shots,Total tackles,Touches in penalty area,Yellow cards,Aerial duels_won,Aerial duels_lost,Crosses_won,Crosses_lost,Dribbles_won,Dribbles_lost,Final third phase_won,Final third phase_lost,Ground duels_won,Ground duels_lost,Long balls_won,Long balls_lost,REFEREE_Andy Madley,REFEREE_Anthony Taylor,REFEREE_Chris Kavanagh,REFEREE_Craig Pawson,REFEREE_Darren Bond,REFEREE_Darren England,REFEREE_David Coote,REFEREE_Jarred Gillett,REFEREE_John Brooks,REFEREE_Joshua Smith,REFEREE_Lewis Smith,REFEREE_Michael Oliver,REFEREE_Michael Salisbury,REFEREE_Peter Bankes,REFEREE_Robert Jones,REFEREE_Samuel Allison,REFEREE_Samuel Barrott,REFEREE_Simon Hooper,REFEREE_Stuart Attwell,REFEREE_Thomas Bramall,REFEREE_Tim Robinson,REFEREE_Tony Harrington
269,man-city,tottenham,0–1,363,0.44,4.0,3.0,1.0,0.0,5,17,3,14,0.44,,,2.12,40,6.0,15,12,4,6.0,1.7,,0,10,2.0,416,,1.0,48,,8,2,5,4,20,0.65,,18,6.0,12,20,29,0.0,5,8,2,10,7,12,94,17,39,49,23,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,liverpool,newcastle,2–0,533,0.61,2.0,2.0,,,4,23,4,6,0.55,,0.0,1.7,82,0.0,12,11,7,1.0,0.0,0.0,0,10,0.0,594,,,44,,9,5,3,3,25,0.6,,20,1.0,12,25,30,0.0,9,5,0,4,8,14,122,36,44,38,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
270,newcastle,liverpool,2–0,309,0.39,1.0,1.0,,,1,20,2,14,0.45,,1.0,0.23,47,1.0,11,12,9,1.0,-0.91,1.0,0,5,1.0,366,,,40,,2,2,0,1,20,0.6,,18,1.0,3,20,16,1.0,5,9,1,13,7,11,90,27,38,44,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
271,west-ham,leicester,2–0,580,0.58,4.0,3.0,1.0,,3,24,3,9,0.45,,,1.33,74,0.0,12,6,7,2.0,0.25,,0,7,1.0,647,,0.0,46,,7,3,2,1,13,0.69,,17,2.0,8,13,19,,16,16,4,13,9,16,135,24,27,37,17,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,leicester,west-ham,2–0,391,0.42,0.0,0.0,0.0,,5,26,3,10,0.55,,,0.37,50,3.0,6,12,4,1.0,-1.15,,0,9,0.0,462,,1.0,44,,5,3,2,5,25,0.44,,16,1.0,10,25,10,,16,16,4,20,2,3,64,26,37,27,11,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,forest,man-city,1–0,208,0.31,,,,,2,25,3,13,0.47,0.0,2.0,0.73,50,1.0,9,7,12,3.0,0.55,0.0,1,5,1.0,261,,,42,,6,3,4,3,17,0.47,,15,3.0,9,17,18,3.0,10,8,7,11,7,5,72,36,31,39,17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,man-city,forest,1–0,547,0.69,,,,,3,19,2,12,0.53,1.0,0.0,0.86,56,1.0,7,9,6,3.0,-0.14,1.0,1,5,1.0,609,,,47,,6,8,3,8,18,0.67,,17,3.0,14,18,24,2.0,8,10,1,16,13,5,171,34,39,31,13,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,brighton,fulham,2–1,444,0.53,3.0,2.0,1.0,0.0,2,24,3,10,0.5,,,1.54,62,2.0,6,11,6,0.0,-0.25,2.0,0,15,4.0,514,,1.0,48,,8,3,4,1,18,0.61,,16,0.0,9,18,33,0.0,19,13,4,9,6,12,111,44,35,40,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
273,fulham,brighton,2–1,374,0.47,1.0,0.0,1.0,1.0,3,41,7,9,0.5,,,0.9,36,0.0,12,6,7,2.0,-0.25,0.0,0,4,1.0,441,,0.0,48,,6,2,1,0,22,0.41,,13,2.0,6,22,13,2.0,13,19,3,19,12,9,55,22,40,35,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
274,crystal-palace,ipswich,1–0,301,0.55,5.0,4.0,1.0,3.0,9,40,5,7,0.53,0.0,2.0,3.26,54,3.0,8,7,12,7.0,1.9,,1,7,,407,,1.0,55,,14,6,4,5,23,0.48,2.0,26,7.0,19,23,25,4.0,21,22,7,12,9,7,70,46,39,32,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
